city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count
WOODBURY,Minnesota,37.7,31982.0,35868.0,67850,2732.0,9477.0,2.72,MN,White,56216
SEATTLE,Washington,35.5,345659.0,338784.0,684443,29364.0,119840.0,2.13,WA,Black or African-American,61974
MOUNTAIN VIEW,California,33.5,42493.0,37945.0,80438,1376.0,31857.0,2.46,CA,Asian,23884
HAYWARD,California,34.3,78152.0,80148.0,158300,4385.0,60970.0,3.32,CA,White,74800
BK,California,37.0,50405.0,54909.0,105314,4048.0,32435.0,2.52,CA,Black or African-American,4729
MESA,Arizona,36.9,234998.0,236835.0,471833,31808.0,57492.0,2.68,AZ,White,413010
FARGO,North Dakota,30.7,60560.0,58690.0,119250,6154.0,9428.0,2.18,ND,White,107349
SOUTH BEND,Indiana,32.4,50483.0,53274.0,103757,3708.0,8779.0,2.72,IN,White,71391
LAKEWOOD,California,39.9,41523.0,40069.0,81592,4094.0,18274.0,3.13,CA,Asian,18999
PITTSBURG,California,34.5,33309.0,36118.0,69427,2109.0,21043.0,3.15,CA,White,25996
MESQUITE,Texas,34.6,69240.0,75884.0,145124,6438.0,26755.0,2.96,TX,Hispanic or Latino,56753
BIRMINGHAM,Alabama,35.6,102122.0,112789.0,214911,13212.0,8258.0,2.21,AL,Hispanic or Latino,8940
BOCA RATON,Florida,47.3,44760.0,48466.0,93226,4367.0,21117.0,2.22,FL,Hispanic or Latino,14735
TACOMA,Washington,37.7,100914.0,107036.0,207950,19040.0,31863.0,2.48,WA,Asian,26909
PALM BAY,Florida,40.7,51767.0,56128.0,107895,10942.0,12070.0,2.82,FL,American Indian and Alaska Native,1603
BROCKTON,Massachusetts,35.2,46273.0,49041.0,95314,3036.0,27313.0,2.88,MA,Asian,2528
POINCIANA,Florida,34.2,38142.0,35801.0,73943,2933.0,14349.0,3.93,FL,White,45622
WESTON,Florida,38.6,32956.0,36991.0,69947,1507.0,30876.0,3.34,FL,Hispanic or Latino,36687
SIOUX FALLS,South Dakota,34.6,86596.0,84934.0,171530,8658.0,12934.0,2.38,SD,Hispanic or Latino,9388
PLANO,Texas,38.1,138565.0,145054.0,283619,11719.0,74030.0,2.65,TX,Black or African-American,25217
TYLER,Texas,33.9,50422.0,53283.0,103705,4813.0,8225.0,2.59,TX,Hispanic or Latino,21536
LEAGUE CITY,Texas,35.9,49354.0,48996.0,98350,6484.0,8361.0,2.72,TX,Asian,8163
LAWRENCE,Kansas,27.4,45592.0,48324.0,93916,2986.0,8701.0,2.53,KS,Asian,6547
LAWRENCE,Kansas,27.4,45592.0,48324.0,93916,2986.0,8701.0,2.53,KS,American Indian and Alaska Native,4239
DENTON,Texas,28.7,62478.0,68569.0,131047,6352.0,18451.0,2.66,TX,Black or African-American,15542
DENTON,Texas,28.7,62478.0,68569.0,131047,6352.0,18451.0,2.66,TX,American Indian and Alaska Native,1857
LAFAYETTE,Louisiana,31.7,64018.0,63643.0,127661,5206.0,5396.0,2.54,LA,American Indian and Alaska Native,1183
LONG BEACH,California,34.6,238159.0,236013.0,474172,17463.0,127764.0,2.78,CA,Asian,68095
NEW BEDFORD,Massachusetts,38.6,43793.0,51166.0,94959,4185.0,19024.0,2.39,MA,Black or African-American,8890
MIAMI BEACH,Florida,42.5,48090.0,44221.0,92311,2265.0,49908.0,2.1,FL,White,72180
SPRINGFIELD,Massachusetts,31.8,74744.0,79592.0,154336,5723.0,16226.0,2.81,MA,Hispanic or Latino,69209
BALDWIN PARK,California,35.8,38747.0,38309.0,77056,780.0,34322.0,4.13,CA,White,36890
SAN JOSE,California,36.5,518317.0,508602.0,1026919,27269.0,401493.0,3.13,CA,White,442798
PASCO,Washington,28.6,35298.0,32799.0,68097,2052.0,16265.0,3.45,WA,American Indian and Alaska Native,1054
MISSION VIEJO,California,44.9,48849.0,48314.0,97163,4713.0,17308.0,2.85,CA,Black or African-American,2066
MODESTO,California,35.2,104852.0,106405.0,211257,9855.0,39613.0,2.97,CA,Asian,19417
MAPLE GROVE,Minnesota,38.6,31780.0,36601.0,68381,2943.0,7645.0,2.64,MN,Asian,6088
THE WOODLANDS,Texas,38.8,56083.0,63061.0,119144,8351.0,21188.0,2.93,TX,Hispanic or Latino,19574
LIVERMORE,California,36.7,41522.0,46595.0,88117,3063.0,13959.0,2.91,CA,White,73440
MILPITAS,California,36.8,40098.0,37519.0,77617,1608.0,39436.0,3.32,CA,Black or African-American,2914
